3783 24186
7188 1 0.0042211904
430 1 0.0042211904
3134 1 0.0042211904
3026 1 0.0042211904
3010 1 0.0042211904
804 1 0.0042211904
160 1 0.0042211904
95 1 0.0040101309
377 1 0.0035880118
888 1 0.0035880118
89 1 0.0035880118
1901 1 0.0033769523
161 1 0.0033769523
256 1 0.0033769523
351 1 0.0031658928
3329 1 0.0031658928
3341 1 0.0031658928
649 1 0.0031658928
1583 1 0.0031658928
87 1 0.0031658928
37 1 0.0031658928
309 1 0.0031658928
821 1 0.0031658928
1496 1 0.0031658928
637 1 0.0031658928
964 1 0.0031658928
594 1 0.0031658928
2249 1 0.0031658928
554 1 0.0031658928
20 1 0.0031658928
2227 1 0.0031658928
1315 1 0.0031658928
519 1 0.0031658928
1316 1 0.0031658928
2149 1 0.0031658928
1724 1 0.0031658928
18 1 0.0031658928
57 1 0.0031658928
118 1 0.0029548333
3254 1 0.0029548333
1177 1 0.0029548333
112 1 0.0029548333
11 1 0.0029548333
586 1 0.0029548333
35 1 0.0029548333
15 1 0.0029548333
1445 1 0.0029548333
152 1 0.0029548333
2 1 0.0029548333
113 1 0.0029548333
44 1 0.0027437737
2401 1 0.0027437737
10 1 0.0027437737
2378 1 0.0027437737
126 1 0.0027437737
3245 1 0.0027437737
783 1 0.0027437737
493 1 0.0027437737
1358 1 0.0027437737
1180 1 0.0027437737
529 1 0.0027437737
333 1 0.0027437737
1538 1 0.0027437737
2282 1 0.0027437737
1519 1 0.0027437737
2966 1 0.0027437737
474 1 0.0027437737
330 1 0.0027437737
958 1 0.0027437737
17 1 0.0027437737
1295 1 0.0027437737
38 1 0.0027437737
1952 1 0.0027437737
223 1 0.0027437737
625 1 0.0025327142
1392 1 0.0025327142
3355 1 0.0025327142
1881 1 0.0025327142
58 1 0.0025327142
96 1 0.0025327142
1580 1 0.0025327142
196 1 0.0025327142
146 1 0.0025327142
416 1 0.0025327142
1198 1 0.0025327142
3319 1 0.0025327142
1867 1 0.0025327142
896 1 0.0025327142
617 1 0.0025327142
3300 1 0.0025327142
1877 1 0.0025327142
462 1 0.0025327142
3279 1 0.0025327142
454 1 0.0025327142
1860 1 0.0025327142
121 1 0.0025327142
151 1 0.0025327142
1570 1 0.0025327142
1573 1 0.0025327142
1063 1 0.0025327142
1353 1 0.0025327142
459 1 0.0025327142
2334 1 0.0025327142
1267 1 0.0025327142
1060 1 0.0025327142
1061 1 0.0025327142
7431 1 0.0025327142
1355 1 0.0025327142
71 1 0.0025327142
3070 1 0.0025327142
2113 1 0.0025327142
3001 1 0.0025327142
396 1 0.0025327142
2260 1 0.0025327142
142 1 0.0025327142
2238 1 0.0025327142
123 1 0.0025327142
2942 1 0.0025327142
1509 1 0.0025327142
7410 1 0.0025327142
1760 1 0.0025327142
2876 1 0.0025327142
259 1 0.0025327142
1493 1 0.0025327142
2845 1 0.0025327142
370 1 0.0025327142
2844 1 0.0025327142
2167 1 0.0025327142
156 1 0.0025327142
2808 1 0.0025327142
255 1 0.0025327142
736 1 0.0025327142
7603 1 0.0025327142
346 1 0.0025327142
9 1 0.0025327142
75 1 0.0025327142
175 1 0.0025327142
2754 1 0.0025327142
22 1 0.0025327142
155 1 0.0025327142
1261 1 0.0025327142
2552 1 0.0025327142
2586 1 0.0025327142
710 1 0.0025327142
578 1 0.0025327142
472 1 0.0025327142
2472 1 0.0025327142
1606 1 0.0025327142
4 1 0.0025327142
563 1 0.0025327142
744 1 0.0023216547
3422 1 0.0023216547
250 1 0.0023216547
249 1 0.0023216547
2427 1 0.0023216547
3414 1 0.0023216547
1590 1 0.0023216547
2305 1 0.0023216547
1900 1 0.0023216547
3392 1 0.0023216547
1065 1 0.0023216547
1147 1 0.0023216547
1072 1 0.0023216547
3375 1 0.0023216547
1024 1 0.0023216547
709 1 0.0023216547
1382 1 0.0023216547
3332 1 0.0023216547
1885 1 0.0023216547
3330 1 0.0023216547
1197 1 0.0023216547
3316 1 0.0023216547
1886 1 0.0023216547
154 1 0.0023216547
1522 1 0.0023216547
2391 1 0.0023216547
3298 1 0.0023216547
432 1 0.0023216547
3292 1 0.0023216547
3290 1 0.0023216547
7597 1 0.0023216547
3274 1 0.0023216547
1875 1 0.0023216547
291 1 0.0023216547
158 1 0.0023216547
1579 1 0.0023216547
1846 1 0.0023216547
1066 1 0.0023216547
290 1 0.0023216547
3233 1 0.0023216547
891 1 0.0023216547
247 1 0.0023216547
1856 1 0.0023216547
3211 1 0.0023216547
115 1 0.0023216547
1365 1 0.0023216547
483 1 0.0023216547
3210 1 0.0023216547
3189 1 0.0023216547
3193 1 0.0023216547
2352 1 0.0023216547
1847 1 0.0023216547
3173 1 0.0023216547
1051 1 0.0023216547
1843 1 0.0023216547
2342 1 0.0023216547
7341 1 0.0023216547
3139 1 0.0023216547
1186 1 0.0023216547
3167 1 0.0023216547
3149 1 0.0023216547
1842 1 0.0023216547
3156 1 0.0023216547
3141 1 0.0023216547
817 1 0.0023216547
1840 1 0.0023216547
1839 1 0.0023216547
2324 1 0.0023216547
3143 1 0.0023216547
3142 1 0.0023216547
174 1 0.0023216547
2315 1 0.0023216547
1356 1 0.0023216547
1835 1 0.0023216547
296 1 0.0023216547
3118 1 0.0023216547
1542 1 0.0023216547
3111 1 0.0023216547
753 1 0.0023216547
3088 1 0.0023216547
395 1 0.0023216547
3068 1 0.0023216547
3042 1 0.0023216547
1442 1 0.0023216547
1339 1 0.0023216547
596 1 0.0023216547
2281 1 0.0023216547
222 1 0.0023216547
194 1 0.0023216547
3064 1 0.0023216547
1812 1 0.0023216547
1796 1 0.0023216547
701 1 0.0023216547
124 1 0.0023216547
3057 1 0.0023216547
7427 1 0.0023216547
2276 1 0.0023216547
2271 1 0.0023216547
1525 1 0.0023216547
2235 1 0.0023216547
3027 1 0.0023216547
2090 1 0.0023216547
1342 1 0.0023216547
331 1 0.0023216547
3023 1 0.0023216547
2261 1 0.0023216547
68 1 0.0023216547
116 1 0.0023216547
1043 1 0.0023216547
3020 1 0.0023216547
491 1 0.0023216547
179 1 0.0023216547
2252 1 0.0023216547
214 1 0.0023216547
439 1 0.0023216547
2147 1 0.0023216547
1167 1 0.0023216547
697 1 0.0023216547
67 1 0.0023216547
1793 1 0.0023216547
258 1 0.0023216547
1340 1 0.0023216547
2996 1 0.0023216547
1520 1 0.0023216547
1336 1 0.0023216547
30 1 0.0023216547
178 1 0.0023216547
747 1 0.0023216547
2962 1 0.0023216547
2952 1 0.0023216547
455 1 0.0023216547
260 1 0.0023216547
623 1 0.0023216547
29 1 0.0023216547
1510 1 0.0023216547
2927 1 0.0023216547
301 1 0.0023216547
2907 1 0.0023216547
2909 1 0.0023216547
1148 1 0.0023216547
955 1 0.0023216547
1502 1 0.0023216547
2853 1 0.0023216547
1500 1 0.0023216547
2178 1 0.0023216547
1320 1 0.0023216547
874 1 0.0023216547
2177 1 0.0023216547
2892 1 0.0023216547
636 1 0.0023216547
1034 1 0.0023216547
1494 1 0.0023216547
276 1 0.0023216547
1318 1 0.0023216547
117 1 0.0023216547
1492 1 0.0023216547
1302 1 0.0023216547
1313 1 0.0023216547
1491 1 0.0023216547
2870 1 0.0023216547
2181 1 0.0023216547
1309 1 0.0023216547
1750 1 0.0023216547
2848 1 0.0023216547
1458 1 0.0023216547
951 1 0.0023216547
1029 1 0.0023216547
2176 1 0.0023216547
2846 1 0.0023216547
347 1 0.0023216547
2173 1 0.0023216547
2826 1 0.0023216547
1742 1 0.0023216547
2166 1 0.0023216547
2823 1 0.0023216547
2820 1 0.0023216547
2814 1 0.0023216547
1736 1 0.0023216547
1025 1 0.0023216547
1482 1 0.0023216547
1483 1 0.0023216547
2152 1 0.0023216547
2806 1 0.0023216547
1128 1 0.0023216547
2801 1 0.0023216547
2795 1 0.0023216547
1290 1 0.0023216547
1288 1 0.0023216547
1436 1 0.0023216547
2498 1 0.0023216547
2784 1 0.0023216547
587 1 0.0023216547
2780 1 0.0023216547
2779 1 0.0023216547
305 1 0.0023216547
944 1 0.0023216547
2129 1 0.0023216547
683 1 0.0023216547
42 1 0.0023216547
1136 1 0.0023216547
1283 1 0.0023216547
2127 1 0.0023216547
2093 1 0.0023216547
1284 1 0.0023216547
72 1 0.0023216547
264 1 0.0023216547
2756 1 0.0023216547
1285 1 0.0023216547
613 1 0.0023216547
304 1 0.0023216547
1282 1 0.0023216547
4721 1 0.0023216547
1475 1 0.0023216547
2746 1 0.0023216547
1715 1 0.0023216547
734 1 0.0023216547
2108 1 0.0023216547
1923 1 0.0023216547
1465 1 0.0023216547
2742 1 0.0023216547
2117 1 0.0023216547
1720 1 0.0023216547
90 1 0.0023216547
2731 1 0.0023216547
1457 1 0.0023216547
2725 1 0.0023216547
2109 1 0.0023216547
543 1 0.0023216547
2102 1 0.0023216547
712 1 0.0023216547
231 1 0.0023216547
2687 1 0.0023216547
1708 1 0.0023216547
1129 1 0.0023216547
76 1 0.0023216547
2065 1 0.0023216547
1251 1 0.0023216547
1248 1 0.0023216547
725 1 0.0023216547
2559 1 0.0023216547
507 1 0.0023216547
1942 1 0.0023216547
1232 1 0.0023216547
534 1 0.0023216547
994 1 0.0023216547
503 1 0.0023216547
2448 1 0.0023216547
846 1 0.0023216547
1 160 0.1459854015
1 1028 1.0000000000
1 309 0.0583657588
1 11 0.0064850843
1 594 0.2343750000
1 1316 1.0000000000
1 1392 0.5600000000
1 1583 1.0000000000
1 888 0.2857142857
1 637 0.1686746988
1 1520 1.0000000000
1 18 0.0140703518
1 35 0.0142857143
1 1901 1.0000000000
1 44 0.0212765957
1 10 0.0067427386
1 783 0.2600000000
1 821 0.2600000000
1 112 0.0469314079
1 964 0.1911764706
1 89 0.0229681979
1 20 0.0174966353
1 256 0.0391566265
1 223 0.0631067961
1 1881 0.5217391304
1 351 0.0731707317
1 196 0.0444444444
1 416 0.0800000000
1 1877 0.5217391304
1 87 0.0194489465
1 2367 1.0000000000
1 3254 0.1188118812
1 1573 0.3529411765
1 247 0.0563380282
1 1353 0.2666666667
1 493 0.1025641026
1 1358 0.3428571429
1 1177 0.4615384615
1 1538 0.3529411765
1 2296 1.0000000000
1 222 0.0378548896
1 2282 1.0000000000
1 2113 1.0000000000
1 2260 1.0000000000
1 71 0.0389610390
1 142 0.0234375000
1 2249 1.0000000000
1 1519 0.3529411765
1 2227 1.0000000000
1 1496 0.5000000000
1 519 0.0722891566
1 1493 0.3529411765
1 1315 0.4800000000
1 1750 0.5217391304
1 156 0.0273348519
1 9 0.0072683222
1 1724 0.5217391304
1 22 0.0097165992
1 15 0.0081135903
1 255 0.0322580645
1 1267 0.2666666667
1 1261 0.2666666667
1 57 0.0183767228
1 710 0.1690140845
1 472 0.1121495327
1 152 0.0388349515
1 1952 1.0000000000
1 1606 0.5217391304
1 379 0.0701754386
1 4 0.0046189376
1 563 0.0967741935
1 113 0.0257510730
1 744 0.1549295775
1 625 0.1182795699
1 3422 1.0000000000
1 3421 1.0000000000
1 3418 1.0000000000
1 3402 1.0000000000
1 250 0.0604395604
1 249 0.0352564103
1 2427 0.5000000000
1 3414 1.0000000000
1 1590 0.3235294118
1 3355 1.0000000000
1 2305 0.5000000000
1 1900 0.3333333333
1 3385 1.0000000000
1 1147 0.1666666667
1 377 0.1774193548
1 1072 0.2972972973
1 96 0.0218253968
1 118 0.0260047281
1 3375 1.0000000000
1 3367 1.0000000000
1 1024 0.2340425532
1 709 0.2619047619
1 3349 1.0000000000
1 1580 0.2500000000
1 545 0.0814814815
1 146 0.0274314214
1 1198 0.2391304348
1 1589 0.3235294118
1 3341 1.0000000000
1 3339 1.0000000000
1 2402 0.5000000000
1 2401 0.5000000000
1 1382 0.3142857143
1 3335 1.0000000000
1 3317 1.0000000000
1 3329 1.0000000000
1 3332 1.0000000000
1 3330 1.0000000000
1 1867 0.3333333333
1 1197 0.2391304348
1 3319 1.0000000000
1 1885 0.3333333333
1 1862 0.4782608696
1 1886 0.3333333333
1 649 0.0718954248
1 154 0.0224948875
1 3316 1.0000000000
1 617 0.0973451327
1 3313 1.0000000000
1 3300 1.0000000000
1 1522 0.2500000000
1 2391 0.5000000000
1 896 0.1392405063
1 3298 1.0000000000
1 462 0.0743243243
1 3295 1.0000000000
1 432 0.0691823899
1 3292 1.0000000000
1 3290 1.0000000000
1 2383 0.5000000000
1 1195 0.1447368421
1 3283 1.0000000000
1 1875 0.3333333333
1 3279 1.0000000000
1 2378 0.5000000000
1 1579 0.2500000000
1 291 0.0691823899
1 454 0.0743243243
1 2375 0.5000000000
1 292 0.0460251046
1 158 0.0394265233
1 3256 1.0000000000
1 1846 0.3333333333
1 3259 1.0000000000
1 1066 0.1929824561
1 1061 0.2340425532
1 3253 1.0000000000
1 1860 0.3333333333
1 3247 1.0000000000
1 2368 0.5000000000
1 151 0.0440000000
1 3245 1.0000000000
1 1574 0.2500000000
1 290 0.0424710425
1 1570 0.2500000000
1 3233 1.0000000000
1 891 0.1864406780
1 1856 0.2075471698
1 115 0.0217391304
1 3215 1.0000000000
1 483 0.0940170940
1 1365 0.3142857143
1 3211 1.0000000000
1 3210 1.0000000000
